Calcite 100years,Gypsum 100years,Ferrihydrite 100years,Jarosite 100years,Gibbsite 100years,Siderite 100years,Calcite 1000years,Gypsum 1000years,Ferrihydrite 1000years,Jarosite 1000years,Gibbsite 1000years,Siderite 1000years,Calcite 3000years,Gypsum 3000years,Ferrihydrite 3000years,Jarosite 3000years,Gibbsite 3000years,Siderite 3000years
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
