Porosity 10years,Hydraulic conductivity 10years,Hydraulic head 10years,Calcite 10years,Gypsum 10years,Porosity 100years,Hydraulic conductivity 100years,Hydraulic head 100years,Calcite 100years,Gypsum 100years,Porosity 1000years,Hydraulic conductivity 1000years,Hydraulic head 1000years,Calcite 1000years,Gypsum 1000years
3.49E-01,1.15E-04,4.19E-03,3.00E-01,1.02E-03,3.44E-01,1.09E-04,1.17E-06,2.99E-01,6.26E-03,3.44E-01,1.09E-04,2.00E-08,2.99E-01,6.26E-03
3.49E-01,1.15E-04,4.11E-03,3.00E-01,7.88E-04,3.46E-01,1.11E-04,1.15E-06,3.00E-01,4.57E-03,3.46E-01,1.11E-04,1.96E-08,3.00E-01,4.57E-03
3.49E-01,1.15E-04,4.03E-03,3.00E-01,6.11E-04,3.47E-01,1.12E-04,1.13E-06,3.00E-01,3.34E-03,3.47E-01,1.12E-04,1.92E-08,3.00E-01,3.34E-03
3.50E-01,1.15E-04,3.95E-03,3.00E-01,4.74E-04,3.48E-01,1.13E-04,1.10E-06,3.00E-01,2.46E-03,3.48E-01,1.13E-04,1.88E-08,3.00E-01,2.46E-03
3.50E-01,1.16E-04,3.86E-03,3.00E-01,3.68E-04,3.48E-01,1.14E-04,1.08E-06,3.00E-01,1.81E-03,3.48E-01,1.14E-04,1.84E-08,3.00E-01,1.81E-03
3.50E-01,1.16E-04,3.78E-03,3.00E-01,2.85E-04,3.49E-01,1.14E-04,1.06E-06,3.00E-01,1.34E-03,3.49E-01,1.14E-04,1.80E-08,3.00E-01,1.34E-03
3.50E-01,1.16E-04,3.70E-03,3.00E-01,2.22E-04,3.49E-01,1.15E-04,1.03E-06,3.00E-01,9.89E-04,3.49E-01,1.15E-04,1.76E-08,3.00E-01,9.89E-04
3.50E-01,1.16E-04,3.62E-03,3.00E-01,1.72E-04,3.49E-01,1.15E-04,1.01E-06,3.00E-01,7.34E-04,3.49E-01,1.15E-04,1.72E-08,3.00E-01,7.34E-04
3.50E-01,1.16E-04,3.53E-03,3.00E-01,1.33E-04,3.50E-01,1.15E-04,9.86E-07,3.00E-01,5.46E-04,3.50E-01,1.15E-04,1.68E-08,3.00E-01,5.46E-04
3.50E-01,1.16E-04,3.45E-03,3.00E-01,1.04E-04,3.50E-01,1.16E-04,9.63E-07,3.00E-01,4.07E-04,3.50E-01,1.16E-04,1.64E-08,3.00E-01,4.07E-04
3.50E-01,1.16E-04,3.37E-03,3.00E-01,8.06E-05,3.50E-01,1.16E-04,9.40E-07,3.00E-01,3.03E-04,3.50E-01,1.16E-04,1.60E-08,3.00E-01,3.03E-04
3.50E-01,1.16E-04,3.29E-03,3.00E-01,6.27E-05,3.50E-01,1.16E-04,9.17E-07,3.00E-01,2.27E-04,3.50E-01,1.16E-04,1.57E-08,3.00E-01,2.27E-04
3.50E-01,1.16E-04,3.20E-03,3.00E-01,4.88E-05,3.50E-01,1.16E-04,8.94E-07,3.00E-01,1.70E-04,3.50E-01,1.16E-04,1.53E-08,3.00E-01,1.70E-04
3.50E-01,1.16E-04,3.12E-03,3.00E-01,3.80E-05,3.50E-01,1.16E-04,8.71E-07,3.00E-01,1.28E-04,3.50E-01,1.16E-04,1.49E-08,3.00E-01,1.28E-04
3.50E-01,1.16E-04,3.04E-03,3.00E-01,2.96E-05,3.50E-01,1.16E-04,8.48E-07,3.00E-01,9.59E-05,3.50E-01,1.16E-04,1.45E-08,3.00E-01,9.59E-05
3.50E-01,1.16E-04,2.96E-03,3.00E-01,2.31E-05,3.50E-01,1.16E-04,8.25E-07,3.00E-01,7.22E-05,3.50E-01,1.16E-04,1.41E-08,3.00E-01,7.22E-05
3.50E-01,1.16E-04,2.88E-03,3.00E-01,1.81E-05,3.50E-01,1.16E-04,8.02E-07,3.00E-01,5.45E-05,3.50E-01,1.16E-04,1.37E-08,3.00E-01,5.45E-05
3.50E-01,1.16E-04,2.79E-03,3.00E-01,1.43E-05,3.50E-01,1.16E-04,7.79E-07,3.00E-01,4.13E-05,3.50E-01,1.16E-04,1.33E-08,3.00E-01,4.13E-05
3.50E-01,1.16E-04,2.71E-03,3.00E-01,1.13E-05,3.50E-01,1.16E-04,7.57E-07,3.00E-01,3.14E-05,3.50E-01,1.16E-04,1.29E-08,3.00E-01,3.14E-05
3.50E-01,1.16E-04,2.63E-03,3.00E-01,9.03E-06,3.50E-01,1.16E-04,7.34E-07,3.00E-01,2.40E-05,3.50E-01,1.16E-04,1.25E-08,3.00E-01,2.40E-05
3.50E-01,1.16E-04,2.55E-03,3.00E-01,7.27E-06,3.50E-01,1.16E-04,7.11E-07,3.00E-01,1.84E-05,3.50E-01,1.16E-04,1.21E-08,3.00E-01,1.84E-05
3.50E-01,1.16E-04,2.46E-03,3.00E-01,5.92E-06,3.50E-01,1.16E-04,6.88E-07,3.00E-01,1.42E-05,3.50E-01,1.16E-04,1.17E-08,3.00E-01,1.42E-05
3.50E-01,1.16E-04,2.38E-03,3.00E-01,4.87E-06,3.50E-01,1.16E-04,6.65E-07,3.00E-01,1.11E-05,3.50E-01,1.16E-04,1.13E-08,3.00E-01,1.11E-05
3.50E-01,1.16E-04,2.30E-03,3.00E-01,4.06E-06,3.50E-01,1.16E-04,6.42E-07,3.00E-01,8.68E-06,3.50E-01,1.16E-04,1.10E-08,3.00E-01,8.68E-06
3.50E-01,1.16E-04,2.22E-03,3.00E-01,3.42E-06,3.50E-01,1.16E-04,6.19E-07,3.00E-01,6.87E-06,3.50E-01,1.16E-04,1.06E-08,3.00E-01,6.87E-06
3.50E-01,1.16E-04,2.14E-03,3.00E-01,2.90E-06,3.50E-01,1.16E-04,5.96E-07,3.00E-01,5.48E-06,3.50E-01,1.16E-04,1.02E-08,3.00E-01,5.48E-06
3.50E-01,1.16E-04,2.05E-03,3.00E-01,2.47E-06,3.50E-01,1.16E-04,5.73E-07,3.00E-01,4.40E-06,3.50E-01,1.16E-04,9.78E-09,3.00E-01,4.40E-06
3.50E-01,1.16E-04,1.97E-03,3.00E-01,2.23E-06,3.50E-01,1.16E-04,5.50E-07,3.00E-01,3.67E-06,3.50E-01,1.16E-04,9.39E-09,3.00E-01,3.67E-06
3.50E-01,1.16E-04,1.89E-03,3.00E-01,2.11E-06,3.50E-01,1.16E-04,5.27E-07,3.00E-01,3.19E-06,3.50E-01,1.16E-04,9.00E-09,3.00E-01,3.19E-06
3.50E-01,1.16E-04,1.81E-03,3.00E-01,2.06E-06,3.50E-01,1.16E-04,5.04E-07,3.00E-01,2.87E-06,3.50E-01,1.16E-04,8.61E-09,3.00E-01,2.87E-06
3.50E-01,1.16E-04,1.73E-03,3.00E-01,2.05E-06,3.50E-01,1.16E-04,4.81E-07,3.00E-01,2.65E-06,3.50E-01,1.16E-04,8.22E-09,3.00E-01,2.65E-06
3.50E-01,1.16E-04,1.64E-03,3.00E-01,2.07E-06,3.50E-01,1.16E-04,4.58E-07,3.00E-01,2.52E-06,3.50E-01,1.16E-04,7.83E-09,3.00E-01,2.52E-06
3.50E-01,1.16E-04,1.56E-03,3.00E-01,2.12E-06,3.50E-01,1.16E-04,4.36E-07,3.00E-01,2.46E-06,3.50E-01,1.16E-04,7.43E-09,3.00E-01,2.46E-06
